,t-SNE1,t-SNE2,K-means Cluster,DBSCAN Cluster,Hierarchical Cluster
TCGA-AG-4007,-27.14457,-1.2186317,1,-1,0
TCGA-DM-A0X9,36.599007,-0.21420223,2,-1,2
TCGA-AZ-4682,-12.933999,-2.6862364,3,-1,1
TCGA-QG-A5Z2,11.579491,0.97662354,0,-1,1
TCGA-A6-2682,36.466442,1.5417514,2,-1,2
TCGA-DC-4749,-17.925203,8.13886,3,-1,3
TCGA-D5-5538,-23.13501,-6.151604,1,-1,0
TCGA-CA-6717,16.157204,3.4453197,0,-1,1
TCGA-D5-6531,-24.04546,-8.317308,1,-1,1
TCGA-AG-4022,29.755157,9.680371,2,-1,2
TCGA-CK-5915,37.453514,-2.7638218,2,-1,2
TCGA-D5-6927,14.243666,2.0939746,0,-1,1
TCGA-AA-A02W,-29.887926,-2.216127,1,-1,0
TCGA-G4-6298,-14.046469,9.619762,3,-1,3
TCGA-D5-6539,-14.877462,-9.461871,1,-1,1
TCGA-AH-6897,2.5368454,-7.831575,0,-1,1
TCGA-AA-3667,-15.485313,-14.72574,1,-1,0
TCGA-AH-6643,38.366043,6.3007975,2,-1,2
TCGA-AA-3867,-16.733286,14.781,3,-1,3
TCGA-G4-6299,-30.027966,4.0974865,1,-1,3
TCGA-A6-5661,14.909478,-1.3153439,0,-1,1
TCGA-AZ-4681,-15.853265,-14.584519,1,-1,0
TCGA-AG-A026,-13.030671,12.6214905,3,-1,3
TCGA-DC-5869,-23.968523,-5.6114936,1,-1,0
TCGA-CM-5864,39.39448,-1.6255238,2,-1,2
TCGA-AG-3727,-13.792824,-18.418285,3,-1,0
TCGA-DC-6158,-12.563194,14.79607,3,-1,3
TCGA-AA-3869,-28.652788,-3.654551,1,-1,0
TCGA-AA-3811,34.555077,-2.268165,2,-1,2
TCGA-CM-6171,8.09145,-15.167211,0,-1,1
TCGA-5M-AATA,-17.53451,0.7172561,1,-1,0
TCGA-D5-6922,-21.974705,-1.6943595,1,-1,0
TCGA-AG-3909,-8.900968,-11.672423,1,-1,1
TCGA-CK-4950,5.0690107,-14.587012,0,-1,1
TCGA-CL-5917,-19.888193,2.350253,1,-1,0
TCGA-F4-6855,-0.992558,-14.1361685,0,-1,1
TCGA-A6-6651,13.985059,8.65771,3,-1,1
TCGA-AA-3821,11.308421,3.8255804,0,-1,1
TCGA-AA-3846,41.137924,4.1224356,2,-1,2
TCGA-AA-3984,8.993836,6.5625606,0,-1,1
TCGA-AZ-4684,-22.711403,-5.0891404,1,-1,0
TCGA-DY-A1DE,-22.001665,-6.1794457,1,-1,0
TCGA-AG-A02N,9.852225,4.830074,0,-1,3
TCGA-A6-2675,-24.048967,-1.6429937,1,-1,0
TCGA-AF-6655,-20.21294,-7.4094806,1,-1,0
TCGA-EI-6514,33.329674,11.054721,2,-1,2
TCGA-AF-3911,-21.140924,-4.8978558,1,-1,0
TCGA-AA-3872,-20.242184,-8.435374,1,-1,0
TCGA-AA-3538,-16.908667,16.2322,3,-1,3
TCGA-A6-4107,40.458557,-1.4812933,2,-1,2
TCGA-G4-6302,23.938896,8.67754,2,-1,1
TCGA-3L-AA1B,37.176094,5.824592,2,-1,2
TCGA-AA-3549,-10.077374,-9.8262205,1,-1,1
TCGA-F5-6813,-4.869434,-7.1603155,0,-1,1
TCGA-AA-3973,1.5203938,-10.834248,0,-1,1
TCGA-CM-6675,-4.372993,2.9228199,0,-1,1
TCGA-AA-3844,5.2598157,-11.059025,0,-1,1
TCGA-AG-3586,-26.58084,-8.021077,1,-1,0
TCGA-A6-2674,-28.722937,-5.503069,1,-1,0
TCGA-G4-6627,35.98438,2.3576365,2,-1,2
TCGA-EI-7002,-6.692907,-9.044454,1,-1,1
TCGA-AA-3837,1.8437116,-13.50936,0,-1,1
TCGA-A6-5664,13.219308,4.372422,0,-1,1
TCGA-DM-A1D9,-14.773047,0.37049383,1,-1,3
TCGA-DC-6154,2.2698143,14.664072,3,-1,3
TCGA-D5-6932,-10.031447,12.701058,3,-1,3
TCGA-AY-6386,10.479012,-2.289116,0,-1,1
TCGA-AD-6890,2.6417613,-8.061257,0,-1,1
TCGA-AA-3989,-7.0933537,-13.818643,0,-1,1
TCGA-T9-A92H,3.1980512,-3.6839855,0,-1,3
TCGA-DC-6681,1.9758219,-13.986932,0,-1,1
TCGA-A6-6648,-21.417204,10.838504,3,-1,3
TCGA-NH-A50U,-14.82769,0.6619241,1,-1,3
TCGA-G4-6295,-16.514229,7.8818007,3,-1,3
TCGA-AA-3845,8.594988,6.8293796,0,-1,1
TCGA-AG-3609,4.706989,-8.639542,0,-1,1
TCGA-AG-A025,7.998647,-0.7827337,0,-1,1
TCGA-NH-A6GA,-4.728234,3.7898805,3,-1,1
TCGA-AG-3602,1.2365458,6.3773108,3,-1,1
TCGA-CM-6161,37.61655,-0.78023285,2,-1,2
TCGA-AD-A5EK,39.50867,6.3527694,2,-1,2
TCGA-4T-AA8H,33.98184,6.221395,2,-1,2
TCGA-A6-6140,-17.176565,9.267702,3,-1,3
TCGA-AA-3688,-10.001503,-7.9512296,1,-1,0
TCGA-A6-6780,17.875145,0.5784392,0,-1,1
TCGA-CM-5863,34.810265,1.6383244,2,-1,2
TCGA-AA-3511,38.16394,2.6220455,2,-1,2
TCGA-A6-5660,-28.819088,2.406088,1,-1,0
TCGA-AA-3679,-27.668163,-2.3723977,1,-1,0
TCGA-AG-3894,4.8947506,-12.123369,0,-1,1
TCGA-SS-A7HO,-0.00047465417,11.690174,3,-1,3
TCGA-AA-3986,3.9058502,-12.971996,0,-1,1
TCGA-CM-6167,24.581339,8.717724,2,-1,1
TCGA-CM-5341,29.790117,-6.7696595,2,-1,1
TCGA-AY-A54L,38.85678,1.6473018,2,-1,2
TCGA-DT-5265,-4.000818,1.9831551,0,-1,1
TCGA-A6-6654,-22.764296,-9.574103,1,-1,0
TCGA-AG-3902,-17.511646,11.915233,3,-1,3
TCGA-A6-3810,-27.270348,-5.222721,1,-1,0
TCGA-D5-6535,-29.564268,3.5502713,1,-1,3
TCGA-AF-2690,-28.74854,-6.2015786,1,-1,0
TCGA-DM-A1D8,2.5710006,-17.853714,0,-1,1
TCGA-AA-A02R,17.96739,2.0466194,0,-1,1
TCGA-5M-AAT5,-18.084906,8.496745,3,-1,3
TCGA-AZ-4315,17.17802,-4.023141,0,-1,1
TCGA-AA-3548,-16.942732,3.773559,1,-1,3
TCGA-AA-3818,5.577283,-11.952033,0,-1,1
TCGA-D5-6529,36.104527,2.1457005,2,-1,2
TCGA-AA-A01K,-12.174996,11.070643,3,-1,3
TCGA-DC-6682,-27.12738,3.5312817,1,-1,0
TCGA-A6-6652,-25.553366,-1.450317,1,-1,0
TCGA-A6-6781,15.740482,7.5314484,0,-1,1
TCGA-AG-3600,-9.668856,9.217819,3,-1,3
TCGA-AA-3977,17.05681,-1.9968913,0,-1,1
TCGA-AA-3660,-15.942525,1.6569347,1,-1,3
TCGA-AG-3599,4.7202744,-13.010888,0,-1,1
TCGA-AG-3892,16.602295,-3.7381854,0,-1,1
TCGA-AA-A02F,4.216022,8.8513155,3,-1,3
TCGA-F4-6459,-24.38126,-11.419253,1,-1,2
TCGA-AA-3495,-24.22042,6.5011377,1,-1,0
TCGA-AA-3852,29.810442,3.9485242,2,-1,2
TCGA-5M-AAT6,-11.540187,3.521269,1,-1,3
TCGA-DM-A282,1.6778469,-13.091942,0,-1,1
TCGA-AA-A01S,-24.353178,6.47553,1,-1,0
TCGA-A6-6141,9.117599,0.24971975,0,-1,1
TCGA-AG-A02G,-6.244657,10.874286,3,-1,3
TCGA-AA-3877,16.212334,-0.975848,0,-1,1
TCGA-A6-6138,3.7532425,-3.0685127,0,-1,3
TCGA-AD-6889,13.568868,-3.4112203,0,-1,1
TCGA-D5-6931,13.038771,3.2397964,0,-1,1
TCGA-AD-6964,15.59848,4.2974,0,-1,1
TCGA-AA-3848,-9.770859,-15.63551,0,-1,0
TCGA-EF-5831,-10.695214,11.890165,3,-1,3
TCGA-F5-6464,-22.807585,-12.557887,1,-1,0
TCGA-AA-3819,2.3380246,9.89902,3,-1,3
TCGA-AA-3875,40.918808,5.3513017,2,-1,2
TCGA-AF-6672,-20.723072,-1.1069154,1,-1,0
TCGA-G4-6294,1.2566519,-11.731934,0,-1,1
TCGA-AG-3601,-15.861967,14.086443,3,-1,3
TCGA-CM-6170,-4.8863807,13.473502,3,-1,3
TCGA-DY-A1DD,-10.38858,14.012497,3,-1,3
TCGA-AD-6963,38.16952,4.649105,2,-1,2
TCGA-A6-2672,14.586346,-0.36861876,0,-1,1
TCGA-AA-3968,3.162856,-11.018969,0,-1,1
TCGA-AA-A022,18.59764,1.9502265,0,-1,1
